Time: 0.141927056, Heading: 0.0, ActualHeading: -0.00542370109938478, CurrentVelo: 8.844853247877147, VeloCommand: 39.58428778715722, DesiredVelo: 28.0, LateralVelo: 0.4260035452280059
Time: 0.14288430600000002, Heading: 0.0, ActualHeading: -0.00542370109938478, CurrentVelo: 8.844853247877147, VeloCommand: 39.39436830678292, DesiredVelo: 28.0, LateralVelo: 0.4260035452280059
Time: 0.146955973, Heading: 0.0, ActualHeading: -0.00542370109938478, CurrentVelo: 8.844853247877147, VeloCommand: 39.90201135436737, DesiredVelo: 28.0, LateralVelo: 0.4260035452280059
Time: 0.14775718100000002, Heading: 0.0, ActualHeading: -0.00542370109938478, CurrentVelo: 8.844853247877147, VeloCommand: 40.00190352896541, DesiredVelo: 28.0, LateralVelo: 1.6690301566049734
Time: 0.14871647300000002, Heading: 0.0, ActualHeading: -0.0070720384333086495, CurrentVelo: 14.140130462125628, VeloCommand: 39.707938606577116, DesiredVelo: 28.0, LateralVelo: 1.6690301566049734
Time: 0.153084182, Heading: 0.0, ActualHeading: -0.0070720384333086495, CurrentVelo: 14.140130462125628, VeloCommand: 40.25248566140893, DesiredVelo: 28.0, LateralVelo: 1.6690301566049734
Time: 0.154007599, Heading: 0.0, ActualHeading: -0.0070720384333086495, CurrentVelo: 14.140130462125628, VeloCommand: 40.367613296453214, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.154978849, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 40.112943318153, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.156288141, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 40.276178295497566, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.159709974, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 40.702792704072465, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.16064680800000003, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 40.8195917655237, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.161491183, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 40.92486357196207, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.162273725, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 41.022426396481855, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.163033225, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 41.117116477298964, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.163828016, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 41.216206436512536, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.164703308, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 41.32533279624732, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.1656906, Heading: 0.0, ActualHeading: -0.00854867396161545, CurrentVelo: 13.166047475946407, VeloCommand: 41.44842267020397, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.166534392, Heading: 0.0, ActualHeading: -0.005504837570319351, CurrentVelo: 13.166047475946407, VeloCommand: 41.554293970317445, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.1674721, Heading: 0.0, ActualHeading: -0.005504837570319351, CurrentVelo: 13.166047475946407, VeloCommand: 41.67120449758249, DesiredVelo: 28.0, LateralVelo: 2.3559060831897485
Time: 0.168393475, Heading: 0.0, ActualHeading: -0.005504837570319351, CurrentVelo: 13.166047475946407, VeloCommand: 41.786078677027284, DesiredVelo: 28.0, LateralVelo: 0.5956681578353474
Time: 0.16985705900000003, Heading: 0.0, ActualHeading: -0.007118834543119807, CurrentVelo: 13.182539132296682, VeloCommand: 41.12246102284592, DesiredVelo: 28.0, LateralVelo: 0.5956681578353474
Time: 0.17391151700000002, Heading: 0.0, ActualHeading: -0.007118834543119807, CurrentVelo: 13.182539132296682, VeloCommand: 41.627953130891, DesiredVelo: 28.0, LateralVelo: 0.5956681578353474
Time: 0.17486789200000002, Heading: 0.0, ActualHeading: -0.007118834543119807, CurrentVelo: 13.182539132296682, VeloCommand: 41.747189787142375, DesiredVelo: 28.0, LateralVelo: -1.1271689356893742
Time: 0.175842934, Heading: 0.0, ActualHeading: -0.007290536348736876, CurrentVelo: 14.929482072924428, VeloCommand: 41.448230495502294, DesiredVelo: 28.0, LateralVelo: -1.1271689356893742
Time: 0.182540477, Heading: 0.0, ActualHeading: -0.007290536348736876, CurrentVelo: 14.929482072924428, VeloCommand: 42.283249859766606, DesiredVelo: 28.0, LateralVelo: -1.1271689356893742
Time: 0.183471477, Heading: 0.0, ActualHeading: -0.007290536348736876, CurrentVelo: 14.929482072924428, VeloCommand: 42.39932272829916, DesiredVelo: 28.0, LateralVelo: -1.1271689356893742
Time: 0.184335685, Heading: 0.0, ActualHeading: -0.007977343571205156, CurrentVelo: 14.664823007731599, VeloCommand: 42.50688432834944, DesiredVelo: 28.0, LateralVelo: -1.300920185478696
Time: 0.185138643, Heading: 0.0, ActualHeading: -0.007977343571205156, CurrentVelo: 14.664823007731599, VeloCommand: 42.028868695779316, DesiredVelo: 28.0, LateralVelo: -1.300920185478696
Time: 0.18885185200000001, Heading: 0.0, ActualHeading: -0.007977343571205156, CurrentVelo: 14.664823007731599, VeloCommand: 42.49181236955545, DesiredVelo: 28.0, LateralVelo: -1.300920185478696
Time: 0.189873561, Heading: 0.0, ActualHeading: -0.007977343571205156, CurrentVelo: 14.664823007731599, VeloCommand: 42.61919375799605, DesiredVelo: 28.0, LateralVelo: -1.2869918091476735
Time: 0.190712394, Heading: 0.0, ActualHeading: -0.008904533321537332, CurrentVelo: 16.21449650346375, VeloCommand: 42.28039281957089, DesiredVelo: 28.0, LateralVelo: -1.9395040864773463
Time: 0.19876297799999998, Heading: 0.0, ActualHeading: -0.009625680905129025, CurrentVelo: 17.023335688355857, VeloCommand: 42.80927012251759, DesiredVelo: 28.0, LateralVelo: -1.9395040864773463
Time: 0.203153145, Heading: 0.0, ActualHeading: -0.009625680905129025, CurrentVelo: 17.023335688355857, VeloCommand: 43.35660547399897, DesiredVelo: 28.0, LateralVelo: -1.9395040864773463
Time: 0.204183895, Heading: 0.0, ActualHeading: -0.009625680905129025, CurrentVelo: 17.023335688355857, VeloCommand: 43.48511218309214, DesiredVelo: 28.0, LateralVelo: -4.094592829717162
Time: 0.205095062, Heading: 0.0, ActualHeading: -0.009660021266252438, CurrentVelo: 19.53906266339064, VeloCommand: 42.90545118828194, DesiredVelo: 28.0, LateralVelo: -4.094592829717162
Time: 0.20944381299999998, Heading: 0.0, ActualHeading: -0.009660021266252438, CurrentVelo: 19.53906266339064, VeloCommand: 43.44762290267922, DesiredVelo: 28.0, LateralVelo: -4.094592829717162
